m1    [z]                       [z]                       [z]                       [z]                       [z]                       [z]                       [z]                       [z]                       [z]                       [z]
m2    5.4139696739059062E+01    5.2383012525101698E+01    6.5174733154659251E+01    5.0407080926548197E+01    7.3023564544480834E+01    3.0014543240922844E+01    3.1886765465300929E+01    3.1649671732493463E+01    3.1075422472291670E+01    3.3468857883325398E+01
m3    2.0274037338727157E+02    1.7579544776391526E+02    5.1539917705789783E+01    7.1943914502385738E+01    2.5446457658921628E+02    7.7090859293570858E+01    7.4578545814651918E+01    7.4520572515247679E+01    3.6196123054279091E+01    1.1227099496418226E+02
m4    -2.3033187159984609E+00   -2.2473011708272770E+00   -2.5867891984929710E+00   -2.1947181202668098E+00   -2.7498333902590368E+00   -1.1700743460021761E+00   -1.1274142861581655E+00   -1.2357546070035830E+00   -1.1102599929459649E+00   -1.3161856749786589E+00
m5    -2.7111505537129723E+01   -2.3352234493700426E+01   -4.2706381788516214E+00   -8.3388904974812128E+00   -3.3468223522676325E+01   -9.9143103614152928E+00   -9.5723225214644376E+00   -9.3884526489778217E+00   -4.0334738949529951E+00   -1.4813508350572153E+01
m6    1.8332395579982519E-01    1.8414206666493138E-01    1.8536643756894744E-01    1.7850816214943199E-01    1.9054526097859048E-01    9.1512878102704587E-02    9.1047941603978000E-02    9.3014166128206233E-02    8.9416345365559646E-02    9.3557211259584161E-02
m7    1.2093497363063648E+00    1.0344053207043657E+00    6.7344573782591510E-02    3.1292199337816129E-01    1.4641492705075763E+00    4.2341782990045473E-01    4.0747455370211938E-01    3.9138389657712480E-01    1.4191028210452217E-01    6.5054235559041729E-01
m8    -1.3878144502273381E+01   -1.3425036490330795E+01   -1.6787863916162323E+01   -1.2830561169578120E+01   -1.8995682349328678E+01   -7.7822287270172747E+00   -8.3617635892803648E+00   -8.1875641979630291E+00   -8.1229419751942231E+00   -8.6685736639037678E+00
m9    1.1879020940083329E-01    1.1019103066994429E-01    1.5675470207106557E-01    1.0676461722988417E-01    1.7532205901259790E-01    6.2015185729194844E-02    5.6534543095522416E-02    6.9925511517817007E-02    5.5368346329004670E-02    8.0763489069628935E-02
m10   9.5970289308017875E-01    9.3086080566433260E-01    1.1507438839858413E+00    8.8597637487456993E-01    1.3064574469514021E+00    5.4011639798891942E-01    5.8435991490551231E-01    5.6499674636067887E-01    5.6676921587453322E-01    5.9664306201476069E-01
n1    4.0105742774808558E-07    5.5145415474870329E-07    4.0121444455956813E-06    2.6576017477481015E-06    2.9474082128350613E-07    1.2038396087691276E-06    1.3356240046733745E-06    1.4635759919549340E-06    4.8976192739275615E-06    6.6966303841735863E-07
n2    -1.9557098210921499E-03   -2.2322347424944041E-03   -5.5971254759373309E-03   -4.7654650484827490E-03   -1.5462718722277454E-03   -4.9449950936695693E-03   -5.0954087822570170E-03   -5.0384477825184404E-03   -9.2543564179901443E-03   -3.5036930962991236E-03
n3    6.1166748628918375E-06    8.8740314427311093E-06    5.7797748963770305E-05    3.9309052864039642E-05    4.7104645882360045E-06    1.8619895111897702E-05    2.1969343620152812E-05    2.2827907987243488E-05    7.7716968122175132E-05    1.0800141220712155E-05
n4    -2.8451805689862866E-06   -4.1826175287778639E-06   -2.6279879929645963E-05   -1.8192811332316016E-05   -2.2569836992558167E-06   -8.7130120817819007E-06   -1.0492800522535053E-05   -1.0808022566871513E-05   -3.6444159457347715E-05   -5.0629371935289001E-06
n5    3.8947118109047233E-07    5.7079900829947835E-07    3.5185557311922444E-06    2.4698553815929045E-06    3.1232309094971835E-07    1.1815963708583502E-06    1.4485779005890338E-06    1.4798313623122579E-06    4.9934736694135425E-06    6.8715251733703672E-07
