m1      [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]
m2      6.1574445809100126E+01      6.3970311290673905E+01      6.7450905097111956E+01      5.0407080926548197E+01      7.0247514213503038E+01      3.4101844071692867E+01      3.1494220548636424E+01      3.1397092567659008E+01      3.1075422472291670E+01      3.0968212748729449E+01
m3      3.0935442439267888E+02      2.9393990453742407E+02      1.3819142326142190E+02      7.1943914502385738E+01      9.0988261559806077E+01      1.5390535125934349E+02      1.1611010654704403E+02      9.2765335252141639E+01      3.6196123054279091E+01      1.1321193108976358E+02
m4      -2.3909627635172246E+00     -2.3233971566489267E+00     -2.6731418533053413E+00     -2.1947181202668098E+00     -2.7325415231281207E+00     -1.2244270913326416E+00     -1.1805828075392941E+00     -1.2015008730637431E+00     -1.1102599929459649E+00     -1.2178941289555523E+00 
m5      -4.2565600886886116E+01     -4.0280153633184661E+01     -1.7207801518911346E+01     -8.3388904974812128E+00     -9.9634597686428652E+00     -2.1043020885072266E+01     -1.5675043498192540E+01     -1.2142605750651596E+01     -4.0334738949529951E+00     -1.5098378542227637E+01 
m6      1.7985780973681864E-01      1.7873040109502147E-01      1.9047729287381054E-01      1.7850816214943199E-01      1.9891383119594153E-01      9.1850673678172567E-02      9.0014096664488452E-02      9.4212026337055610E-02      8.9416345365559646E-02      9.7888240961620632E-02    
m7      1.9545561448840090E+00      1.8411889094542673E+00      7.0920375683479620E-01      3.1292199337816129E-01      3.4346371457591829E-01      9.6003122979566058E-01      7.0611018539159431E-01      5.2983020513778456E-01      1.4191028210452217E-01      6.7241078166647483E-01      
m8      -1.6106488800626103E+01     -1.6827182589256882E+01     -1.7560439599623209E+01     -1.2830561169578120E+01     -1.8261081587824538E+01     -8.9983956604622559E+00     -8.2537097868044782E+00     -8.1940014498516547E+00     -8.1229419751942231E+00     -8.0461721235559462E+00   
m9      1.3530578101873214E-01      1.2665029688878970E-01      1.6386767843716754E-01      1.0676461722988417E-01      1.6357992328786608E-01      6.9842931421916443E-02      6.5408884284824165E-02      6.3705056016725603E-02      5.5368346329004670E-02      6.2544513290029524E-02   
m10     1.1257975106112195E+00      1.1791258815435626E+00      1.2177020183874276E+00      8.8597637487456993E-01      1.2634603370890112E+00      6.3079603980496746E-01      5.7704622955724982E-01      5.7223986797232573E-01      5.6676921587453322E-01      5.6088479418023862E-01    
n1      1.9345649019145569E-07      2.1499488514690514E-07      8.5865540158545512E-07      2.3884476558898162E-06      1.4997584959197871E-06      3.9198890734081695E-07      6.1125742677768214E-07      1.0467195233171159E-06      4.6608976282368152E-06      7.5425721904062693E-07  
n2      -1.3227527430514391E-03     -1.3844277619337220E-03     -2.6880939387556807E-03     -4.7629557501448535E-03     -3.7025570606378029E-03     -2.6406994055505287E-03     -3.4429446832741962E-03     -4.1876168164473836E-03     -9.2471917750553689E-03     -3.5027577924608257E-03  
n3      3.0423394417990450E-06      3.3005686349098834E-06      1.2342398695102516E-05      3.5774444946863561E-05      2.4659069978713066E-05      6.2097033771302346E-06      9.4137687661069387E-06      1.6811482330124820E-05      7.2494495194513745E-05      1.2558106736397633E-05 
n4      -1.3958883475969260E-06     -1.5338871250012100E-06     -5.7304694893581139E-06     -1.6447341066474102E-05     -1.1010680408451089E-05     -2.8737293225166973E-06     -4.3002293026199846E-06     -7.8208892543142646E-06     -3.3879073522040193E-05     -5.5136221369396991E-06   
n5      1.8862040433959365E-07      2.1079237530355295E-07      7.8598226879395746E-07      2.1912714718263290E-06      1.4857892587798124E-06      3.9793387817990948E-07      5.9115245678317552E-07      1.0799493325435875E-06      4.6090482783751579E-06      7.3106306477508918E-07
