m1      [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                   
m2      1.3296116396911980E+01      1.4386277830172427E+01      1.1922448690611969E+01      1.6513117533321150E+01      8.0239722891400707E+00      6.0883584347940598E+00      6.5691625245704861E+00      5.9339407982024248E+00      7.1343524709442425E+00      5.5113114607002123E+00      
m3      6.2096760851946058E+01      8.6261786592532800E+01      -3.7036536669376927E+00     9.3582497152863795E+01      -2.6738217344490810E+01     2.6990188112591529E+01      3.2902204461285343E+01      2.4703192970334747E+01      3.3239644401416101E+01      3.6262757794532142E+01         
m4      -8.5798025867388283E-01     -8.3586849513691619E-01     -7.9455679270077761E-01     -8.4731820115731504E-01     -7.5152960057193297E-01     -3.8543642883892582E-01     -3.9844503225840799E-01     -3.8577118272640537E-01     -4.0753289902485634E-01     -3.9276877734581467E-01     
m5      -1.1402684996826045E+01     -1.5597796491034515E+01     -1.6784877396772702E-02     -1.6759443916427372E+01     3.6641603802115332E+00      -5.0583577679440968E+00     -6.0465218010685371E+00     -4.6994854685850340E+00     -6.0585299676135325E+00     -6.8440297029232227E+00           
m6      1.6077059513921377E-01      1.5759325741274299E-01      1.6128787281388313E-01      1.5216261343165871E-01      1.6679990589049276E-01      7.9450656242018636E-02      7.7153361156579781E-02      8.0334968535042073E-02      7.4617284772507508E-02      8.1789669310811219E-02     
m7      6.8075075339525171E-01      9.1963038020206511E-01      3.1798285335073118E-02      9.7877070714543279E-01      -1.5934206247846738E-01     3.0698635097331284E-01      3.6112540124042614E-01      2.8916206943542111E-01      3.5891230636368565E-01      4.2054785220783497E-01      
m8      -4.1001717499017021E+00     -4.5106749897604645E+00     -3.6714511491137243E+00     -5.2654786870017647E+00     -2.3401763812130083E+00     -1.8889554661700818E+00     -2.0440630176155814E+00     -1.8422160094777602E+00     -2.2350129904974247E+00     -1.6968096327420032E+00     
m9      -7.2509794586645304E-02     -7.2579291047361494E-02     -8.5330786602052955E-02     -6.4074701191568106E-02     -9.8639867404203496E-02     -4.2879409927718548E-02     -3.7953159429360395E-02     -4.3722549893413620E-02     -3.3728883924160180E-02     -4.4164152088848052E-02      
m10     4.1190128228801459E-01      4.4772604482740785E-01      3.8199330752361593E-01      5.1155957435754829E-01      2.7180729923504976E-01      1.9481779733233484E-01      2.0607108369141258E-01      1.9201534068839821E-01      2.2131598663993723E-01      1.8024389045218947E-01   
n1      7.2225437521936328E-06      3.8523903006309198E-06      1.3067923642536095E-03      2.9981087440158299E-06      3.7429590831910303E-05      1.9147454482918484E-05      1.3148283865171910E-05      2.6960341930421476E-05      1.3126571116312916E-05      1.2981486649549587E-05    
n2      -8.6325534161662346E-03     -6.1674884984842041E-03     9.8153075020522618E-02      -5.6304546829688490E-03     1.7258659548857434E-02      -2.0082922342517996E-02     -1.6227060938199728E-02     -2.2341029660214957E-02     -1.5893545792551353E-02     -1.5404131481153072E-02     
n3      1.0825666275427051E-04      6.0919605664119766E-05      1.7463452861205330E-02      4.6123773253020091E-05      5.2977397108711186E-04      2.8455779390319205E-04      2.0203253979051669E-04      3.8892175294325768E-04      1.9817772972651561E-04      2.0572291267783173E-04     
n4      -5.3381002870477316E-05     -2.9434404805582135E-05     -8.1425662968511343E-03     -2.2361107228573783E-05     -2.5382168553919658E-04     -1.3818538872270879E-04     -9.8520752516164398E-05     -1.8271576936420861E-04     -9.3729930085532622E-05     -9.8089981494373882E-05             
n5      7.5265011587951132E-06      4.1138078077957048E-06      1.1070620045096611E-03      3.1382437250201738E-06      3.5731610215945991E-05      1.9466950970646528E-05      1.3884473165756440E-05      2.5192329187856057E-05      1.2859590635301845E-05      1.3702530318009015E-05   
