m1      [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]                         [z]
m2      1.3296116396911980E+01      1.4386277830172427E+01      1.1922448690611969E+01      1.6513117533321150E+01      9.0332804750900539E+00      6.0883584347940598E+00      6.5691625245704861E+00      5.9339407982024248E+00      7.1343524709442425E+00      5.6328829276688293E+00  
m3      6.2096760851946058E+01      8.6261786592532800E+01      -3.7036536669376927E+00     9.3582497152863795E+01      -3.3947168782109820E+01     2.6990188112591529E+01      3.2902204461285343E+01      2.4703192970334747E+01      3.3239644401416101E+01      3.1777691078609553E+01 
m4      -8.5798025867388283E-01     -8.3586849513691619E-01     -7.9455679270077761E-01     -8.4731820115731504E-01     -7.0405297996251370E-01     -3.8543642883892582E-01     -3.9844503225840799E-01     -3.8577118272640537E-01     -4.0753289902485634E-01     -3.7855863156709502E-01  
m5      -1.1402684996826045E+01     -1.5597796491034515E+01     -1.6784877396772702E-02     -1.6759443916427372E+01     4.9541352732663952E+00      -5.0583577679440968E+00     -6.0465218010685371E+00     -4.6994854685850340E+00     -6.0585299676135325E+00     -6.0529411240348008E+00   
m6      1.6077059513921377E-01      1.5759325741274299E-01      1.6128787281388313E-01      1.5216261343165871E-01      1.6830342860175707E-01      7.9450656242018636E-02      7.7153361156579781E-02      8.0334968535042073E-02      7.4617284772507508E-02      8.2092711381870132E-02     
m7      6.8075075339525171E-01      9.1963038020206511E-01      3.1798285335073118E-02      9.7877070714543279E-01      -2.3520557724655511E-01     3.0698635097331284E-01      3.6112540124042614E-01      2.8916206943542111E-01      3.5891230636368565E-01      3.7494146951689178E-01 
m8      -4.1001717499017021E+00     -4.5106749897604645E+00     -3.6714511491137243E+00     -5.2654786870017647E+00     -2.7586526748454618E+00     -1.8889554661700818E+00     -2.0440630176155814E+00     -1.8422160094777602E+00     -2.2350129904974247E+00     -1.7479900173491720E+00 
m9      -7.2509794586645304E-02     -7.2579291047361494E-02     -8.5330786602052955E-02     -6.4074701191568106E-02     -1.0972654692075579E-01     -4.2879409927718548E-02     -3.7953159429360395E-02     -4.3722549893413620E-02     -3.3728883924160180E-02     -4.6547086647309555E-02 
m10     4.1190128228801459E-01      4.4772604482740785E-01      3.8199330752361593E-01      5.1155957435754829E-01      3.1576565029343673E-01      1.9481779733233484E-01      2.0607108369141258E-01      1.9201534068839821E-01      2.2131598663993723E-01      1.8564271704918456E-01 
n1      7.6056096475886960E-06      3.7939266704898313E-06      1.3039771972514144E-03      3.3913586757000917E-06      2.0612836039083996E-05      2.0565893085297295E-05      1.3006015984239257E-05      2.5044154256384934E-05      1.2399281167995918E-05      1.7587362420354699E-05 
n2      -8.6367146844934378E-03     -6.1670674471493610E-03     9.7881126550369915E-02      -5.6339538712064721E-03     1.4078904613131438E-02      -2.0103510632092567E-02     -1.6224362947077520E-02     -2.2329431723857630E-02     -1.5882916345597527E-02     -1.7672749376770453E-02
n3      1.1424546667596481E-04      6.0194198382476909E-05      1.8730455362635824E-02      5.3970517975408306E-05      3.0195143085003106E-04      3.1603402340107413E-04      1.9687228522712134E-04      3.6331618413733063E-04      1.7163007864702003E-04      2.7183857235303053E-04  
n4      -5.4315047540263851E-05     -2.9131182102626919E-05     -9.0839482484470942E-03     -2.6484567395778357E-05     -1.3278174360263346E-04     -1.4998862667408815E-04     -9.6635202682769628E-05     -1.7146314851977681E-04     -7.8053856571063936E-05     -1.3095327477532224E-04   
n5      7.4076508118002494E-06      4.0646187321372521E-06      1.2716110601770126E-03      3.7320479151392457E-06      1.7254150864555516E-05      2.0653792864527295E-05      1.3582721255461227E-05      2.3598892703328804E-05      1.0348824248954710E-05      1.8545154534450604E-05   
